enhancer	FC	p	diff_fdr
chr4:152592685-152592821	1.119840524	0.376925468	0.510924631
chr11:35109319-35109885	1.189496793	0.377182363	0.510935477
chr5:55646435-55647044	1.484043494	0.377200027	0.510935477
chr5:179159137-179159324	0.781334571	0.377215183	0.510935477
chrX:115004721-115004876	1.20682508	0.377620255	0.511356846
chr11:27223366-27223795	1.72988367	0.37802379	0.511775925
chr9:129466839-129467134	0.656657438	0.378329254	0.512062058
chr9:5851473-5851729	1.727059292	0.379329323	0.513247986
chr15:93571843-93572426	0.697134926	0.379396456	0.513247986
chr8:128879185-128879808	1.725378308	0.379488448	0.513247986
chr8:122157265-122157468	1.23937038	0.379737371	0.513457017
chr16:86016233-86016516	0.722144266	0.379962527	0.513633815
chr8:126441416-126441734	1.353567415	0.380308999	0.513974481
chr14:105143455-105143754	1.816199378	0.380477363	0.514074331
chr1:231428201-231428315	1.346858852	0.380577486	0.514081952
chr9:137788032-137788280	0.787168373	0.380731247	0.514162004
chr6:134741718-134742020	0.524091277	0.381136157	0.514513995
chr6:2866705-2867019	0.794961586	0.381258798	0.514513995
chr1:234736336-234736615	0.780613589	0.381275579	0.514513995
chr6:119090277-119090473	1.320565309	0.381597501	0.51482073
chr21:46738832-46739011	0.812680072	0.382196427	0.515500931
chr22:36621171-36621450	1.143304334	0.382478987	0.515754192
chr6:106340722-106341083	0.718378611	0.382938497	0.516199243
chrX:84475648-84475726	1.831777746	0.382998777	0.516199243
chr1:231720748-231721061	1.400295554	0.384014509	0.517320401
chr14:91694873-91695058	0.852657981	0.384020786	0.517320401
chr7:104618643-104618978	1.267152419	0.384257693	0.517422594
chr16:86962886-86963146	0.827120019	0.384375585	0.517422594
chr21:44862613-44862764	0.819332081	0.384381938	0.517422594
chr10:3853393-3854169	1.481472853	0.384745019	0.517783243
chr10:31986198-31986456	0.8123128	0.385097709	0.518129732
chr1:247524183-247524555	0.867411247	0.385359818	0.51827776
chr22:50622526-50622601	1.696093862	0.385398239	0.51827776
chr20:5637936-5638327	0.612399004	0.385980251	0.518932183
chr20:48865015-48865181	1.670759662	0.386654151	0.519709791
chr2:240753522-240753902	1.180998613	0.386805544	0.519784877
chr1:9700704-9700713	0.713369888	0.387003695	0.519922741
chr12:31989978-31990366	0.868862987	0.387364106	0.520278474
chr15:101665058-101665158	0.736073642	0.387630431	0.520507694
chr9:2839342-2839735	1.624002806	0.388184898	0.52112362
chr8:128313110-128313516	2.100503083	0.388797095	0.521758006
chr10:45439361-45439737	0.7310653	0.38884924	0.521758006
chr20:57740587-57741260	1.483616757	0.389167091	0.521785884
chr8:67435383-67435523	1.413575326	0.389195785	0.521785884
chr8:82073282-82073755	2.094561076	0.389252073	0.521785884
chr14:35875293-35875611	1.549353727	0.389344577	0.521785884
chr3:193615675-193615806	0.711552722	0.389349511	0.521785884
chr12:1759390-1759637	0.645139588	0.389818152	0.52228529
chr19:3314117-3314647	1.550869432	0.390516539	0.522883066
chr14:104583053-104583460	1.697946466	0.390562083	0.522883066
chr14:32483231-32483453	1.369227231	0.390628063	0.522883066
chr20:19717747-19718119	1.237182543	0.390648716	0.522883066
chr8:143553509-143553834	1.628715508	0.390748782	0.522888372
chr7:141584515-141584993	1.693208495	0.39092383	0.522962667
chr12:6276820-6277298	0.839221621	0.390996532	0.522962667
chr12:12991466-12991515	0.795888158	0.391577978	0.523611643
chr10:33422989-33423776	1.195225001	0.391833866	0.523825077
chrX:12996986-12997135	1.732683628	0.391965364	0.523872156
chr16:57635822-57636272	2.270452802	0.393312438	0.525543462
chr20:29518777-29518943	1.432334621	0.393489032	0.525650338
chr6:6726025-6726320	1.720091227	0.394739606	0.527191506
chr9:132349858-132350089	0.733919295	0.394959406	0.527355614
chr5:177373047-177373130	1.279772277	0.395138199	0.527464902
chr7:30211441-30211675	0.793164794	0.395523575	0.527611282
chr14:103577820-103578081	1.568387897	0.395556246	0.527611282
chr14:100071651-100072022	0.769644833	0.395624303	0.527611282
chr14:35839188-35839529	0.721161719	0.395635735	0.527611282
chr8:54756817-54757133	1.362966722	0.395994026	0.527891099
chr1:234858843-234859287	0.797976558	0.3960396	0.527891099
chr21:46461202-46461645	0.767423165	0.396746889	0.52870434
chr7:135771654-135771794	0.640731908	0.397034874	0.528783606
chr10:12306536-12306777	1.372252006	0.397081098	0.528783606
chr7:41149816-41150165	0.810331561	0.397118069	0.528783606
chr4:184376829-184376946	1.335906695	0.397195111	0.528783606
chr5:54033914-54034212	1.500211726	0.39732942	0.528829784
chr7:17084621-17084791	1.484290835	0.397424185	0.528829784
chr21:45275167-45275241	1.42219019	0.397599102	0.528933182
chr19:488227-488667	1.144956691	0.397896816	0.529089787
chr8:128435102-128435271	3.038271877	0.397911305	0.529089787
chr9:134154411-134154456	0.685516603	0.398743966	0.530060635
chr1:11968510-11969143	0.751414339	0.398836287	0.530060635
chr12:6717352-6717716	0.901997159	0.399689399	0.531064718
chr6:121396728-121397112	1.409244702	0.400034896	0.531394011
chr12:6389072-6389528	1.351091961	0.400499419	0.531881215
chr8:128412842-128413241	2.468076971	0.401446833	0.532787175
chr10:3929991-3930887	1.356573961	0.401488377	0.532787175
chr8:101920723-101921107	1.310321122	0.401536319	0.532787175
chr20:3041356-3041698	0.685600166	0.401573278	0.532787175
chr7:30188805-30188913	0.856938923	0.402024626	0.533177339
chr6:166672303-166672771	1.292973023	0.402063338	0.533177339
chr10:3526849-3527147	1.297455609	0.402374586	0.533460068
chr17:4670174-4670590	0.830595966	0.402507331	0.533506063
chr7:91324942-91325270	1.866302358	0.402653965	0.53357044
chr10:134349556-134349919	1.162305142	0.403873973	0.535056802
chr5:172380663-172381064	1.092420789	0.404221028	0.535386225
chr19:1175432-1175562	1.699575969	0.40455028	0.535609866
chr5:5352474-5352824	1.366313733	0.404586758	0.535609866
chr1:234904523-234904710	0.660962309	0.405005512	0.53603381
chr1:8187209-8187385	0.714544299	0.405263518	0.536244845
chr20:30191850-30192346	0.781683729	0.405371844	0.536257768
chr3:197838995-197839386	1.697927133	0.405689114	0.536547027
chr9:137367331-137367474	1.491431126	0.405896209	0.536690467
chr17:8649167-8649702	0.64437407	0.406917961	0.537879474
chr15:101818299-101818511	1.219135755	0.407078577	0.537879474
chr5:53859355-53859543	1.411312565	0.407092019	0.537879474
chr9:1930236-1930651	0.695978209	0.40791706	0.538838728
chr21:45117744-45118082	0.909133816	0.408318534	0.539238141
chr21:45616099-45616530	1.18154826	0.408431493	0.539256431
chr11:46258702-46259233	1.622527256	0.409088086	0.539975548
chr4:116100188-116100506	1.330354036	0.409174634	0.539975548
chr8:125302460-125302812	0.81377737	0.409703061	0.540541793
chr9:102569580-102569664	0.846903721	0.410037568	0.540851977
chr20:10655214-10655688	1.465223684	0.410172867	0.540877983
chr22:39784258-39784471	0.708208393	0.410272029	0.540877983
chr20:1396685-1396983	0.744629827	0.410355507	0.540877983
chr4:75409847-75410209	1.36087109	0.410505367	0.540944466
chr9:132107499-132107735	0.864271352	0.411084873	0.541576947
chr14:105124209-105124541	0.732816148	0.411683729	0.542115427
chr22:50341970-50342055	1.464597536	0.411692877	0.542115427
chr10:30420005-30420278	0.609180934	0.411941284	0.542311281
chr9:137030495-137030803	1.089969702	0.413667795	0.54445246
chr11:102753440-102753618	0.725181235	0.414112784	0.544906325
chr9:140022067-140022152	1.38514591	0.414424452	0.545184585
chr9:13568572-13568946	2.024941178	0.414549121	0.545216768
chr9:134421730-134421959	1.266929469	0.415018245	0.545701854
chr6:6702168-6702420	0.729712867	0.415488528	0.546176124
chr16:88701263-88701663	0.566839227	0.415590597	0.546176124
chr4:40185572-40185863	1.15833843	0.415680082	0.546176124
chr6:2872094-2872570	0.845538021	0.416394056	0.546982149
chr14:21183155-21183354	2.840239791	0.416776493	0.54722205
chr8:145995593-145996127	0.937640326	0.416860449	0.54722205
chr7:39655828-39656055	1.290964098	0.416878404	0.54722205
chr18:9088659-9088814	1.49377861	0.417148788	0.5474449
chr9:110811401-110811623	0.82215423	0.41792758	0.54833469
chr8:74792402-74792821	0.762703701	0.418405455	0.548829335
chr21:44690390-44690772	0.737281074	0.418783278	0.549058293
chr6:155636183-155636317	1.342338337	0.418802571	0.549058293
chr10:15416548-15416895	1.553407421	0.418882737	0.549058293
chr7:150782057-150782091	1.390416135	0.419337223	0.549521635
chr1:234737347-234737653	0.796765171	0.419771601	0.54995841
chr8:19059591-19059830	0.771402201	0.420020243	0.550151695
chr4:139575115-139575241	0.640399004	0.420304312	0.550391278
chr14:95629499-95629761	1.185053785	0.42139828	0.551691059
chr7:7835201-7835604	1.21353975	0.421730628	0.551993348
chr14:94748201-94748526	1.291140702	0.42183999	0.5520037
chr8:6536860-6537447	0.906705346	0.422909157	0.553190647
chr12:6404239-6404667	1.799627252	0.423019557	0.553190647
chr2:227586845-227587105	1.511075726	0.423052064	0.553190647
chr12:10514396-10514426	0.834247208	0.423368355	0.55347122
chr9:139444945-139445101	1.2285847	0.424328398	0.554577844
chr7:44934410-44934613	1.443688034	0.4244187	0.554577844
chr11:6217696-6217859	1.324438136	0.425868524	0.556338689
chr16:51186041-51186738	0.750048839	0.426007071	0.556386096
chr3:178671519-178671916	1.126427308	0.426375285	0.556733364
chr11:1409546-1409852	1.604971784	0.42717579	0.557644787
chr14:106166860-106167518	1.755669841	0.427736333	0.558242597
chr11:121321006-121321403	1.357650382	0.427938012	0.558371876
chr22:26455753-26456126	0.303550855	0.428424682	0.558872858
chr6:111808995-111809308	1.424573314	0.428739342	0.559149272
chr16:69444205-69444538	0.756599542	0.428855489	0.559166718
chr17:4299458-4299796	0.811528502	0.428989409	0.559207325
chr8:128311782-128311908	1.398934908	0.429157362	0.559292265
chr8:9040807-9041224	0.70948431	0.429942751	0.560181635
chr10:7511915-7512238	1.375923395	0.430422219	0.560423718
chr1:27645553-27645918	0.804939519	0.430478946	0.560423718
chr17:16440164-16440317	1.403726023	0.430548159	0.560423718
chr4:1562061-1562319	2.160321296	0.430555191	0.560423718
chr4:120130181-120130604	1.230295519	0.430643552	0.560423718
chr10:6449763-6450038	0.716759109	0.431124055	0.56088489
chr1:8121436-8121582	1.581395525	0.431204097	0.56088489
chr20:57724882-57725213	1.228767538	0.431459274	0.561082674
chr1:240874453-240874783	1.261269701	0.431906008	0.561529413
chr16:1696376-1696557	1.155694815	0.432344236	0.561926013
chr22:41105876-41106003	1.361879599	0.43241761	0.561926013
chr16:57578121-57578462	0.71433641	0.432562227	0.561979722
chr20:48876301-48877479	1.460698939	0.432904793	0.562290518
chr21:46298625-46298957	0.659764694	0.43312771	0.562445792
chr9:134248752-134249121	0.859948079	0.433419664	0.562690621
chr8:75135577-75135926	0.762390643	0.43439545	0.563817158
chr12:8123169-8123746	1.132065569	0.434494641	0.563817158
chr1:247523464-247523760	0.886612686	0.434693079	0.563940162
chr12:56729298-56729459	0.792303323	0.435092778	0.564324149
chr3:134051149-134051359	0.789622625	0.436273314	0.565720472
chr8:102161878-102162231	1.311060045	0.436881491	0.56625358
chr4:40181948-40182292	1.19090483	0.43689258	0.56625358
chr7:130633473-130633870	1.418289468	0.437869411	0.567337516
chr16:33952793-33953560	1.172481218	0.437937432	0.567337516
chr22:39677256-39677416	0.666315002	0.43813878	0.5674423
chr6:143345728-143346079	1.321258171	0.43830049	0.5674423
chr8:56753076-56753403	0.656970823	0.438331186	0.5674423
chr22:41060857-41060942	1.204312888	0.438687728	0.567768775
chr8:79759624-79759828	1.311461053	0.43905996	0.568115397
chr16:11308064-11308220	0.739016411	0.439511985	0.568565076
chr14:102093344-102093687	0.758429488	0.440166633	0.569276598
chr6:106611677-106612214	1.529766435	0.440901222	0.570091147
chr2:232478392-232478857	0.807011891	0.441103513	0.570217204
chr4:15773062-15773366	1.718926304	0.441472031	0.570558033
chr17:16944636-16944769	0.808301582	0.441828666	0.570883346
chr4:175281816-175282139	1.19631626	0.442365656	0.571326467
chr1:228350789-228351109	0.829862352	0.442381622	0.571326467
chr6:159484779-159485166	0.785687265	0.442623843	0.571503638
chr22:50769449-50769513	1.245795449	0.443512406	0.572511049
chr9:139860664-139860836	1.427918603	0.443620074	0.572511049
chr6:110863659-110863841	1.337989976	0.443719738	0.572511049
chr8:56778390-56778576	0.683400379	0.444753426	0.573708722
chr19:481673-481793	0.773249047	0.444985065	0.573756954
chr10:6353709-6354129	1.584321409	0.445001718	0.573756954
chr20:58836675-58836957	1.52781669	0.445829562	0.574688142
chr12:47057089-47057400	1.486148762	0.446069927	0.574861789
chr5:158878372-158878607	0.718571119	0.446223543	0.574923585
chr20:55041146-55041327	1.310664673	0.446562399	0.575107327
chr7:99178135-99178365	0.794210557	0.446577551	0.575107327
chr6:138167673-138168756	1.360808895	0.446862062	0.575337548
chr4:4679221-4679437	1.567821843	0.447716023	0.57621792
chr1:247511365-247511433	1.221655893	0.447757649	0.57621792
chr6:2872631-2873198	0.878406469	0.447988578	0.576378778
chr21:26952057-26952278	0.820539568	0.448241779	0.576464966
chr1:26827232-26827869	0.840179916	0.448267464	0.576464966
chr17:8888376-8888874	0.846478294	0.448832119	0.577054716
chrX:130722581-130722843	0.744002685	0.449106673	0.577271299
chr14:93310569-93310815	1.414196874	0.449411551	0.577526747
chr6:111382725-111382978	1.787918055	0.449655416	0.577703688
chr4:36350285-36350555	1.230489471	0.45055697	0.578725325
chr9:100743401-100743685	1.179486372	0.450799256	0.578899871
chr8:29576846-29577118	1.55651361	0.45134598	0.579359179
chr8:56756553-56757241	0.820242052	0.451369888	0.579359179
chr16:3114137-3114295	1.403218184	0.452235841	0.580271119
chrX:106917022-106917635	1.315049405	0.452293662	0.580271119
chr8:29631647-29631969	0.656061752	0.452640787	0.580579566
chr8:40022670-40023063	1.325614791	0.452748519	0.580580885
chr11:117852129-117852316	1.352159917	0.453228298	0.581059182
chr14:102989903-102989915	1.3086434	0.453406256	0.581150397
chr22:20207380-20207531	1.446369881	0.454079083	0.581875716
chrX:139809387-139809785	1.416490857	0.454258612	0.58196871
chr20:46643265-46643458	0.651068761	0.45527141	0.583128941
chr14:105948139-105949025	1.171774919	0.456463582	0.584518322
chr9:13082855-13083077	1.53759176	0.457138356	0.585044118
chr4:75550011-75550323	0.707465212	0.457158473	0.585044118
chr6:13766479-13766874	1.58507439	0.457283141	0.585044118
chr9:108623002-108623305	0.681945225	0.457334023	0.585044118
chr5:179892034-179892360	0.789938391	0.457411814	0.585044118
chr4:159112760-159112996	1.208199044	0.45752168	0.585047111
chr19:1101850-1102062	1.385174889	0.45794749	0.585454016
chr14:23029387-23029658	0.681093593	0.458479735	0.585984913
chr22:43415245-43415535	1.192430772	0.458578159	0.585984913
chr8:102167683-102167913	1.288672986	0.458977182	0.58635709
chr11:1543133-1543339	1.623001022	0.459128278	0.586368198
chr22:30630812-30631583	0.709300239	0.459201414	0.586368198
chr16:57573031-57573089	1.337190664	0.459544752	0.586668934
chr17:4631435-4631755	0.740961269	0.460118955	0.587264188
chr3:193989061-193989396	1.410472413	0.461359405	0.588709316
chr7:30212903-30212961	0.798406828	0.461734937	0.588921765
chr8:80700599-80700746	1.224563444	0.461742372	0.588921765
chr9:14575436-14575689	0.828803235	0.462210316	0.589380439
chr1:16364376-16364458	0.701493293	0.46327767	0.590589277
chr5:180396070-180396284	1.199020633	0.463375414	0.590589277
chr20:3156363-3156554	0.852085291	0.465555421	0.593228816
chr9:110254619-110254916	0.800914234	0.466804334	0.594584848
chr14:105536057-105536658	1.328929367	0.466838168	0.594584848
chr2:238064626-238064865	0.862309697	0.467567887	0.595374882
chr21:23886264-23886299	1.579569246	0.468462265	0.596374166
chr5:963791-964176	1.361634493	0.468672985	0.596375174
chr1:16339360-16339596	0.624731739	0.468682272	0.596375174
chr4:79578189-79578564	1.290216347	0.468815571	0.5964047
chr6:139860975-139861228	1.424520849	0.468924703	0.5964047
chr8:29623150-29623293	0.654821012	0.469344215	0.596545036
chr6:110189198-110189383	1.289311649	0.469393256	0.596545036
chr1:2509702-2510198	1.114992488	0.469485937	0.596545036
chrX:1368332-1368760	1.198232	0.469841299	0.596545036
chr6:5991588-5991674	0.661758377	0.46987654	0.596545036
chr10:30876225-30877110	0.754765274	0.469946651	0.596545036
chr20:48888419-48889173	1.461204104	0.469984506	0.596545036
chr8:128314976-128315380	1.536263304	0.469991379	0.596545036
chr19:3133345-3133760	0.773685724	0.470021792	0.596545036
chr1:1714020-1714715	0.834868697	0.470286973	0.596742403
chr3:170627321-170627621	0.635115924	0.471952757	0.598716473
chr11:1536608-1536918	1.656532489	0.472513818	0.599288505
chr6:149415397-149415605	0.747606123	0.472751383	0.599450076
chr4:178849873-178850023	1.308081715	0.474249228	0.601171646
chr22:37365881-37366000	1.352123158	0.474330064	0.601171646
chr10:3509617-3509911	0.90841184	0.475101408	0.601983599
chr12:46798246-46798498	1.469658365	0.475240647	0.601983599
chr10:30872538-30873163	1.518414147	0.475302617	0.601983599
chr1:14577059-14577154	1.583465865	0.475869732	0.602434296
chr20:52272747-52273002	1.48857156	0.475988466	0.602434296
chr21:44860778-44861412	0.867808203	0.475990634	0.602434296
chr10:130833688-130833933	0.823374155	0.476506418	0.602875972
chr22:30664436-30664582	1.363822086	0.476561212	0.602875972
chr6:10315279-10315501	1.222542152	0.476831023	0.603052426
chr8:86199814-86200087	1.884644677	0.476922365	0.603052426
chr20:46641368-46641640	0.730325831	0.477051825	0.603061153
chr7:17081003-17081300	1.3579724	0.477242536	0.603061153
chr4:70584651-70585052	1.426045115	0.477261776	0.603061153
chr12:52557711-52558022	0.784025424	0.47756614	0.603260975
chrX:9979116-9979440	1.209026992	0.477641661	0.603260975
chr4:4692859-4693117	1.429776708	0.478723418	0.604282558
chr8:127938432-127938773	1.21959765	0.478818424	0.604282558
chr6:1311552-1311897	0.797018454	0.478830994	0.604282558
chr22:39673318-39673703	1.169325359	0.47889476	0.604282558
chr8:128684085-128684435	1.304226322	0.479452115	0.604767234
chr8:8340993-8341010	1.385660874	0.479561014	0.604767234
chrX:2348297-2348573	1.66018806	0.479612317	0.604767234
chr7:149745351-149745623	1.158445291	0.479849265	0.604860181
chr4:99124941-99125231	1.798439096	0.479908363	0.604860181
chr12:11731456-11731873	0.792586231	0.481174014	0.606305065
chr6:4355650-4355845	0.739914947	0.481399618	0.606305065
chr2:242911452-242911734	1.359278374	0.481520837	0.606305065
chr14:35855857-35856187	1.603304214	0.481528244	0.606305065
chr18:60172936-60173272	0.884781675	0.481611926	0.606305065
chr18:48616016-48616044	0.833039964	0.482022959	0.606680737
chr7:1546424-1546775	1.123457251	0.482221155	0.606680737
chr4:7142827-7143002	0.687283308	0.482244842	0.606680737
chr11:116458442-116458607	1.205535907	0.482415471	0.606755104
chr10:6296306-6296528	1.081864834	0.48373988	0.60828026
chr11:1039894-1040259	0.697264583	0.484118046	0.608551304
chr1:234767593-234767925	1.30857522	0.484273268	0.608551304
chr6:170362967-170363366	0.680030107	0.484336319	0.608551304
chr1:16158409-16158760	0.903803798	0.484487061	0.608551304
chr6:12288026-12288260	1.110870489	0.484514657	0.608551304
chr22:29601085-29601300	1.080413539	0.484804597	0.608774939
chr4:38159115-38159505	0.847677602	0.485541548	0.609539806
chr12:54941805-54942012	0.928044465	0.485637761	0.609539806
chr12:28176067-28176342	1.307495131	0.48579164	0.609592323
chr4:129244135-129244496	1.120095	0.485909204	0.609599258
chr16:11295999-11296122	0.875820817	0.486067993	0.609657895
chr7:30278920-30279116	1.454792345	0.486764086	0.610390273
chr3:171531632-171532210	2.794983538	0.487578771	0.611270989
chr8:101910554-101910754	0.7297762	0.488111726	0.61179818
chrX:73755621-73755953	1.333835599	0.488585489	0.612250955
chr4:38663074-38663393	0.768328982	0.489416484	0.613151068
chr10:30471133-30471514	0.843349247	0.490067637	0.613825509
chr8:135842490-135842788	1.363511481	0.491295893	0.615222314
chr12:9768515-9768667	1.200821064	0.491482361	0.615314203
chr8:19058200-19058838	0.823433773	0.491698481	0.615443164
chr22:32322992-32323244	0.655656282	0.492308361	0.616064809
chr3:149933925-149934322	0.713286119	0.492550775	0.616226435
chr14:100659173-100659604	0.863352182	0.493056963	0.616717916
chr8:143679272-143679401	1.557073273	0.493236728	0.616800974
chr8:59710658-59710976	1.337296708	0.493795147	0.617357398
chr14:35828929-35829184	1.359882815	0.494008908	0.617482764
chr19:555976-556322	1.446155385	0.494341021	0.617755971
chr9:135456082-135456667	1.402239517	0.494635367	0.61786461
chr20:48903106-48903611	1.375281509	0.494694465	0.61786461
chr17:1171565-1171808	0.744467971	0.494768628	0.61786461
chr10:4895704-4895738	1.251228013	0.495779686	0.618985148
chr7:128810067-128810454	0.868937446	0.495925453	0.619025095
chr7:1500451-1500958	0.870422074	0.496317731	0.61908796
chr20:22901688-22901945	1.408061701	0.496392724	0.61908796
chr22:41418482-41418837	1.356023387	0.496419509	0.61908796
chr11:2951529-2951649	1.184233429	0.496430945	0.61908796
chr6:2849123-2849376	1.280086016	0.497055408	0.619724673
chr7:5631413-5631525	1.341466361	0.497410938	0.619954274
chr4:28607417-28607640	1.260817289	0.497467444	0.619954274
chr10:6309207-6309569	1.381920649	0.497895298	0.620345389
chr8:1762268-1762565	1.28809416	0.498372752	0.62079811
chr20:48533898-48534043	1.379801483	0.49877128	0.620999536
chr21:19152664-19153229	1.20094205	0.498779316	0.620999536
chr20:381159-381302	1.201601718	0.498876855	0.620999536
chr4:153475381-153475544	1.301653142	0.499326157	0.621255695
chr6:3986661-3986667	0.9122434	0.499341833	0.621255695
chr11:125976647-125976803	1.159763947	0.499425181	0.621255695
chr7:130581597-130582393	1.32026131	0.501188402	0.623306536
chr9:112951364-112951513	0.767647457	0.502130396	0.624335348
chr4:74600296-74600729	1.429568328	0.503462227	0.625848293
chr9:128170862-128170906	0.698206348	0.504511543	0.626921034
chr20:23132994-23133379	2.815801705	0.504588355	0.626921034
chr14:105294003-105294327	1.156726256	0.504754986	0.626921034
chr11:17372476-17372625	1.416784546	0.504898938	0.626921034
chr11:47872031-47872166	1.512678298	0.504901299	0.626921034
chr11:23142638-23142950	1.22054846	0.505076592	0.626995605
chr22:36815362-36815553	1.137472625	0.505321484	0.627129903
chr3:182642205-182642465	0.859970098	0.505415296	0.627129903
chr12:53627985-53628353	1.289885952	0.506879597	0.628770993
chr1:235133014-235133422	1.309764216	0.506969004	0.628770993
chr9:14533478-14534091	1.318575711	0.507169317	0.628876084
chr20:57738628-57739096	1.193069833	0.507554815	0.629210697
chr11:35073607-35073921	0.871815192	0.508274094	0.629958849
chr4:119187150-119187543	0.916717775	0.5084891	0.630081802
chr10:5606609-5606845	1.395712288	0.508691286	0.630188818
chr21:44819332-44820064	1.300783804	0.510254029	0.631980918
chr4:6893983-6894399	1.381226093	0.510572859	0.632231891
chr4:139311280-139311857	1.318795783	0.510701941	0.632247841
chr1:234748100-234748931	1.124189405	0.510857156	0.63229613
chr16:2561562-2561710	1.441923923	0.51104348	0.632382892
chr10:21816029-21816444	1.228219032	0.511498041	0.632660809
chr5:60624078-60624207	0.788963325	0.511500625	0.632660809
chr12:52540237-52540565	1.343152083	0.511736281	0.632665825
chr7:130586004-130586434	1.334691535	0.511737235	0.632665825
chr6:6718281-6718608	0.727556967	0.51210648	0.6329785
chr19:791656-792058	0.704415763	0.51233106	0.633112263
chr14:35816738-35817044	1.19235081	0.512566901	0.633259879
chr1:994198-994452	1.443462881	0.513087393	0.633629689
chr8:21775759-21776194	1.182222845	0.51323545	0.633629689
chrX:75368142-75368530	1.299014842	0.513397564	0.633629689
chr14:21339031-21339328	0.765668889	0.513611052	0.633629689
chr21:19151902-19152070	1.363631337	0.513653732	0.633629689
chr4:106064596-106064807	0.848005356	0.513663689	0.633629689
chr15:96867848-96868085	1.468102795	0.513681411	0.633629689
chr19:6539979-6540238	0.827952658	0.514841251	0.634858439
chr14:38614811-38615058	1.254764526	0.515044366	0.634858439
chr6:106442778-106443178	0.77501273	0.515074092	0.634858439
chr15:101667775-101667985	0.796317521	0.515144276	0.634858439
chr11:1241085-1241212	1.416808586	0.515501749	0.635155121
chr8:29361220-29361668	1.392395623	0.51637167	0.63608292
chr16:46392244-46392645	1.489185467	0.51784493	0.637641652
chr21:44824532-44824624	1.286725613	0.517871432	0.637641652
chrX:71089658-71089933	1.53897201	0.518161334	0.637796874
chr11:44987541-44987892	1.437500583	0.518231939	0.637796874
chr7:129626-129879	1.352385547	0.518974013	0.638565718
chr21:46302910-46303253	1.183639673	0.519859929	0.639511163
chr5:55737283-55737549	0.878942251	0.51998654	0.639522324
chr9:3576230-3576494	1.41740317	0.521513858	0.641255797
chr15:93864881-93865242	0.725557509	0.521787575	0.6414474
chr7:91195125-91195302	0.818684551	0.522284282	0.641905401
chr19:8226134-8226320	1.480645438	0.522396088	0.641905401
chr8:23341447-23341855	0.834845196	0.52261545	0.642029953
chr4:99853675-99854028	1.224875379	0.522866379	0.642193221
chr20:23031353-23032100	0.907902734	0.523643477	0.643002518
chr15:101677566-101677726	1.662439743	0.523820799	0.643031707
chr8:55125016-55125190	1.284816207	0.524036127	0.643031707
chr4:84111590-84111978	1.082101821	0.524095804	0.643031707
chr5:172205264-172205447	0.846573323	0.524317968	0.643031707
chrX:114602209-114602595	1.353103669	0.524462969	0.643031707
chr20:5072801-5072926	1.091490092	0.524475026	0.643031707
chr6:2877769-2878087	1.306453517	0.524494526	0.643031707
chr7:106209872-106210238	0.791604233	0.525198174	0.643749328
chr7:22398962-22399217	0.865538431	0.525406902	0.643860125
chr22:27616278-27616656	1.31434313	0.525575661	0.643921903
chr1:12225396-12225718	0.806166186	0.525835484	0.644095198
chr8:96244132-96244425	0.919710214	0.526314579	0.64453694
chr4:175262329-175262358	0.696308388	0.52646477	0.64457579
chr3:139633599-139633968	0.666118032	0.526692249	0.64470923
chr14:90988934-90989119	1.460035335	0.527191442	0.645087671
chr5:14676546-14676758	0.8628218	0.527238536	0.645087671
chr22:39660507-39661079	1.258676375	0.527568493	0.645346261
chr12:9064281-9064821	1.333150908	0.528034544	0.645771174
chr16:88866491-88866710	0.756511891	0.528354851	0.646017696
chr11:133903772-133904156	1.330870216	0.529013407	0.646614576
chr5:57542411-57542665	0.83891318	0.529080701	0.646614576
chr1:23903714-23904323	1.489770985	0.529613804	0.647120751
chr10:33625950-33626342	0.91121268	0.530249028	0.64767234
chr6:134430650-134430940	1.362033036	0.530303304	0.64767234
chr12:31886733-31886952	1.456472052	0.5310626	0.648454131
chr15:93354824-93354998	0.876752166	0.531522444	0.648656017
chr7:104607797-104607862	0.757505756	0.531585274	0.648656017
chr7:91466585-91467314	1.342885628	0.531585587	0.648656017
chr20:57750104-57750489	1.442361805	0.531923749	0.648923121
chr16:80571434-80571574	0.873811413	0.53272793	0.649634867
chr14:35836736-35837242	1.196514044	0.532770354	0.649634867
chr16:29170991-29171253	0.851899533	0.532865358	0.649634867
chr11:111195850-111196227	1.770233721	0.533321098	0.649948209
chr14:105554572-105554923	0.871063216	0.533361285	0.649948209
chr6:108019411-108019664	0.897198355	0.534163446	0.650639003
chr4:24599702-24600087	1.269079454	0.534278515	0.650639003
chr3:172344996-172345137	1.201933723	0.534286908	0.650639003
chr11:117845403-117845532	0.737744086	0.535454733	0.651915239
chr21:44867284-44867543	1.142167083	0.535799535	0.652189099
chr2:228331050-228331499	1.245264741	0.536685587	0.652993355
chr11:35103874-35105511	0.788687678	0.536747475	0.652993355
chr7:23059376-23059761	1.462180199	0.536889654	0.652993355
chr10:30073207-30073608	1.230544352	0.537147854	0.652993355
chr20:46067688-46067974	0.821720987	0.5371494	0.652993355
chr2:238168767-238169127	1.301500893	0.537180345	0.652993355
chr20:48417278-48417603	0.750006122	0.537714496	0.653280835
chr10:135191872-135192182	1.135257666	0.537757564	0.653280835
chr16:46409326-46409663	1.311656702	0.537777037	0.653280835
